user_cognitive,user_pedagogic_level,question,option,true_answer,ai_explained
1PGI,1,"Ali mengumpulkan sejumlah batang kayu dengan panjang 10m dan ingin memberikan batang kayu dengan jumlah sesedikit mungkin kepada Joni.

Apabila Joni membutuhkan:
• 7 batang kayu dengan panjang 4m
• 7 batang kayu dengan panjang 3m

Berapa banyak kayu 10m paling sedikit yang perlu dikumpulkan oleh Ali?","A.
5

B.
6

C.
7

D.
8",B,"Wah, jawabanmu benar! Bagus sekali! 🥳

Bayangkan kamu punya potongan kayu panjang (10 meter) dan harus memotongnya jadi potongan lebih pendek untuk temanmu. Joni butuh kayu 4 meter dan 3 meter. 

Ali butuh **6** kayu panjang karena dari satu kayu 10 meter, bisa dipotong jadi 2 kayu 4 meter dan masih sisa untuk membuat kayu 3 meter. Dengan 6 kayu, semua kebutuhan Joni terpenuhi!

Ini tentang mencari cara paling pintar untuk menggunakan sumber daya yang ada supaya tidak ada yang terbuang. Semangat terus ya! 👍"
1PGI,1,"Terdapat sebuah kata dengan contoh penulisan sebagai berikut:

1. A
2. B
3. C
4. ABA
5. CBC

Pola: Kata harus palindrome (sama dari depan dan belakang) atau huruf tunggal.

Manakah dari opsi jawaban berikut yang TIDAK sesuai dengan pola?","A.
BBBABBBB

B.
AAA

C.
CBAABC

D.
BCABBACB",A,"Wah, hebat kamu bisa menemukan jawaban yang benar! 👍

**Kenapa BBBABBBB itu salah?**

Bayangkan sebuah cermin. Pola kata itu seperti kata yang bisa dibaca sama dari depan atau belakang – itu namanya palindrome. Atau, kata itu hanya punya satu huruf saja.

Coba *picture* kata BBBABBBB. Kalau dibalik, jadi BBBABBBB juga, tapi polanya tidak sesuai dengan contoh yang diberikan. Contohnya punya pola sederhana, seperti A, B, C, atau kombinasi pendek yang sama dari kedua sisi. BBBABBBB terlalu panjang dan rumit! 

Pola palindrome itu seperti membuat simetri – keseimbangan yang sama di kedua sisi. ✨"
1PGI,1,"Terdapat sebuah pesan yang diubah menjadi kode dengan cara menulis secara zigzag (kolom per kolom):

Contoh:
MEET
BILL
YBEA
VERA
T6XX

Dibaca kolom per kolom: MBYVTEIBE6ELERXTLAAX → MEETBILLYBEAVERAT6

Apabila terdapat sebuah kode sebagai berikut:
OIERKLTEILH!WBEX

Apa pesan asli yang ingin disampaikan?","A.
OKWHERETOMEET!

B.
OKIWILLBETHERE!

C.
WILLYOUBETHERETOO?

D.
OKIWILLMEETHIM!",B,"Wah, hebat kamu bisa menemukan jawabannya! Benar sekali, pesan aslinya adalah **OKIWILLBETHERE!**

Bayangkan kamu punya pesan yang ditulis turun seperti tangga. Lalu, kamu baca setiap anak tangga dari atas ke bawah, bukan dari kiri ke kanan. Kode ""OIERKLTEILH!WBEX"" itu seperti pesan yang ditulis zigzag tadi. Kalau kita baca kolom per kolom, akan terlihat jelas kata-kata **OKI WILL BE THERE!** muncul.

Cara ini adalah cara sederhana untuk menyembunyikan pesan agar tidak mudah dibaca orang lain. Keren kan?"
1PGI,1,"Beba ingin memakan permen loli sebanyak mungkin. Namun, ia hanya boleh memakan maksimal 2 permen sebelum menemukan sikat gigi dan menggosok giginya.

Apabila terdapat sebuah lintasan lurus yang terdiri dari permen (P) dan sikat gigi (S) yang dapat Beba lalui dengan syarat tidak boleh mundur ke belakang, berapakah jumlah permen loli maksimal yang dapat dimakan Beba?

Lintasan:
mulai - P - S - P - P - S - S - P - P - P - S - P - selesai","A.
3

B.
5

C.
6

D.
7",C,"Wah, jawabanmu benar sekali! Hebat! 🎉

Bayangkan lintasan itu seperti jalan yang penuh permen dan sikat gigi. Beba boleh makan permen, tapi setiap 2 permen, dia harus menemukan sikat gigi untuk gosok gigi dulu. 

Lihat jalur itu: Beba bisa makan 2 permen, lalu sikat gigi, makan 2 permen lagi, sikat gigi, lalu 2 permen lagi. Jadi totalnya ada 6 permen yang bisa dimakan sebelum sampai akhir! 

Ini adalah cara kita memecah masalah besar menjadi bagian-bagian kecil untuk menemukan jawabannya. Semangat terus ya! 💪"
1PGI,1,"Pada suatu hari yang cerah, Maya, David, Iva, dan Marko bermain sepak bola. Malangnya, salah satu melempar bola dan memecahkan kaca kelas. Bu Guru ingin tahu siapa yang menyebabkan kaca jendela tsb pecah.

Bu Guru mengenal dengan baik bahwa tiga di antara anak tersebut tidak pernah bohong. Tapi ia tidak yakin siapa yang bersalah.

Anak-anak tersebut berkata secara berurutan:
• Marko: ""Bukan saya yang memecahkan kaca""
• Iva: ""Marko atau David yang memecahkan kaca""
• Maya: ""David yang memecahkan kaca""
• David: ""Bukan saya, Maya bohong!""

Siapa yang memecahkan kaca jendela?","A.
David

B.
Marko

C.
Maya

D.
Iva",A,"Wah, soalnya menarik ya! Jawabannya adalah David.

Bayangkan begini: ada satu anak yang memecahkan kaca, dan tiga anak lainnya selalu jujur. David bilang Maya bohong, dan karena tiga anak jujur, berarti David sendiri yang berbohong! Kalau David bohong, berarti dia yang memecahkan kaca. 

Ini seperti menyusun puzzle, kita cari tahu siapa yang tidak jujur untuk menemukan pelakunya. Semangat terus ya belajarnya!"
1PGR,1,"Sebuah toko bunga memiliki 4 jenis bunga dengan kode A, B, C, dan D serta 3 warna dengan kode 1, 2, 3.

Apabila terdapat pembeli dengan keinginan sebagai berikut:
1. Setiap warna muncul 2 kali
2. Tidak boleh ada bunga berjenis sama dengan warna yang sama
3. Paling banyak hanya 2 bunga untuk tiap jenisnya pada satu rangkaian

Opsi rangkaian mana yang sesuai dengan keinginan pembeli tersebut?","A.
A1 - B2 - B1 - C3 - D2 - C1

B.
A2 - B2 - A3 - B1 - D3 - A1

C.
A1 - B2 - D3 - D3 - B1 - C2

D.
A1 - B2 - C3 - D3 - B1 - D2",D,"Hai! Bagus sekali kamu bisa memilih jawaban yang tepat, yaitu D. A1 - B2 - C3 - D3 - B1 - D2. Mari kita pecah bersama, ya!

Bayangkan kamu sedang membuat kalung dari bunga. Kamu punya 4 jenis bunga (A, B, C, D) dan 3 warna (1, 2, 3). Pembeli ini punya permintaan khusus untuk kalung bunganya.

Pertama, pembeli ingin setiap warna (1, 2, 3) muncul dua kali dalam kalung. Artinya, kita harus punya dua bunga berwarna 1, dua bunga berwarna 2, dan dua bunga berwarna 3. 

Kedua, pembeli tidak mau ada bunga yang jenis dan warnanya sama. Misalnya, tidak boleh ada A1 dan A1 lagi. Setiap bunga harus unik.

Ketiga, setiap jenis bunga (A, B, C, D) boleh ada maksimal dua kali dalam kalung.

Sekarang, mari kita lihat rangkaian D: A1 - B2 - C3 - D3 - B1 - D2. 

*   **Warna:** Kita punya 1 (A1 & B1), 2 (B2 & D2), dan 3 (C3 & D3). Setiap warna muncul dua kali, sesuai permintaan!
*   **Jenis & Warna:** Tidak ada bunga yang jenis dan warnanya sama. Semuanya unik.
*   **Jumlah Jenis:** Tidak ada jenis bunga yang muncul lebih dari dua kali. A muncul sekali, B dua kali, C sekali, dan D dua kali. Sesuai aturan!

Jadi, rangkaian D memenuhi semua permintaan pembeli. Rangkaian ini seperti kalung yang cantik dan teratur, dengan setiap bunga memiliki tempatnya sendiri dan tidak ada yang sama persis.

Memahami soal seperti ini melatih kita untuk berpikir teliti dan memperhatikan detail, seperti menyusun puzzle yang indah! Teruslah berlatih, kamu pasti semakin hebat!"
1PGR,1,"Apabila terdapat 4 kaleng cat dengan warna sebagai berikut:

• Merah (M) → Cukup untuk 5 pagar
• Hijau (H) → Cukup untuk 3 pagar
• Kuning (K) → Cukup untuk 7 pagar
• Biru (B) → Cukup untuk 2 pagar

Urutan pengecatan: M-H-K-B-M-H-K-B-dst (berulang)

Berapa pagar yang dapat dicat apabila tidak boleh ada pagar berdampingan dengan warna yang sama?","A.
8

B.
17

C.
15

D.
5",C,"Hai! Bagus sekali kamu mencoba soal ini. Mari kita pecahkan bersama-sama dengan cara yang mudah dipahami.

**Kenapa jawaban 15 itu benar?**

Bayangkan kamu punya pagar yang panjang sekali, dan kamu ingin mengecatnya dengan warna-warni supaya cantik. Kamu punya cat merah, hijau, kuning, dan biru. Kamu ingin mengecat pagar secara berulang dengan urutan Merah-Hijau-Kuning-Biru. Tapi, ada aturannya: pagar yang bersebelahan *tidak boleh* punya warna yang sama. 

Nah, satu putaran pengecatan itu adalah Merah-Hijau-Kuning-Biru. Berapa pagar yang bisa dicat dalam satu putaran? 
* Merah bisa mengecat 5 pagar.
* Hijau bisa mengecat 3 pagar.
* Kuning bisa mengecat 7 pagar.
* Biru bisa mengecat 2 pagar.

Jadi, dalam satu putaran, kamu bisa mengecat 5 + 3 + 7 + 2 = 17 pagar. Tapi ingat aturannya! Kita tidak boleh mengecat dua pagar yang bersebelahan dengan warna yang sama.

Karena warna cat yang paling sedikit hanya cukup untuk 2 pagar (biru), maka kita hanya bisa mengecat maksimal 2 pagar dengan satu warna sebelum harus ganti warna. Jadi, satu putaran pengecatan kita akan terhenti setelah 2 pagar biru.

Kita bisa mengecat dengan urutan M-H-K-B. Setelah itu, kita harus ganti warna lagi. Karena kita ingin menghindari warna yang sama bersebelahan, kita bisa mengecat lagi dengan M-H-K-B. Tapi, karena cat biru hanya cukup untuk 2 pagar, kita hanya bisa mengecat 2 pagar biru di setiap putaran. 

Kalau kita lihat, dalam dua putaran (M-H-K-B, M-H-K-B), kita mengecat 2 pagar biru.  Jadi, total pagar yang bisa dicat adalah 5 + 3 + 7 + 2 + 5 + 3 + 7 + 2 = 34 pagar.

Tapi, karena kita hanya bisa mengecat maksimal 2 pagar biru, maka kita hanya bisa mengecat 2 pagar dari setiap warna. Sehingga total pagar yang dapat dicat adalah 2+2+2+2 = 8 pagar. 

Oops! Sepertinya ada kesalahan perhitungan. Mari kita coba lagi.

Fokus pada warna yang paling sedikit, yaitu Biru (2 pagar). Kita bisa mengecat 2 pagar biru, lalu dilanjutkan dengan warna lain. Kita bisa mengecat 2 pagar merah, 2 pagar hijau, 2 pagar kuning, dan 2 pagar biru lagi. Jadi totalnya 2+2+2+2=8 pagar. Setelah itu, kita bisa melanjutkan dengan"
1PGR,1,"Sebuah keluarga ingin mengemas apel sesuai aturan sebagai berikut:

1. Apel ditaruh di kantong. Setiap kantong diisi dengan 8 apel. Jika tersisa kurang dari 8 apel, apel dibiarkan tidak dikemas.
2. Kantong akan dimasukkan ke kardus. Setiap kardus berisi 8 kantong. Jika tersisa kurang dari 8 kantong, kantong yang tersisa tidak dimasukkan ke kardus.

Apabila mereka panen 275 apel, ada berapa banyak apel yang tidak dimasukkan ke kantong?","A.
6

B.
1

C.
7

D.
3",D,"Hai! Ayo kita pecahkan soal apel ini bersama-sama. Jangan khawatir, kita akan bahas perlahan dan dengan gambarannya.

**Kenapa jawaban yang benar adalah 3?**

Bayangkan kamu punya 275 apel yang harus dikemas. Pertama, kita fokus pada kantong-kantongnya dulu. Setiap kantong hanya boleh berisi 8 apel, *seperti kamu mengisi gelas dengan air sampai penuh*. 

Untuk tahu berapa banyak kantong yang terisi penuh, kita bagi jumlah apel (275) dengan jumlah apel per kantong (8). Hasilnya adalah 34 kantong penuh, dan sisa 3 apel. 

*Picture* ini: Ada 34 kantong apel yang penuh, dan 3 apel yang ""tersisa"" dan tidak cukup untuk membuat kantong penuh lagi. Soal menanyakan berapa banyak apel yang *tidak* dimasukkan ke kantong, dan jawabannya adalah 3 apel itu!

Sekarang, mari kita lihat hubungannya dengan keseluruhan proses pengemasan. Aturan ini membantu kita mengemas apel secara rapi dan teratur, memastikan setiap kantong terisi sesuai kapasitasnya dan setiap kardus juga terisi penuh. Ini seperti merapikan mainan ke dalam kotak-kotak yang ukurannya sudah ditentukan. Dengan begitu, apel-apelnya lebih mudah disimpan dan dihitung.

Semangat terus ya! Kamu sudah berhasil memahami cara memecahkan masalah ini dengan melihat gambaran besarnya terlebih dahulu, baru kemudian fokus pada detailnya. Itu adalah cara yang hebat!"
1PGR,1,"Terdapat kumpulan bantal dengan berbagai huruf sebagai berikut:

C A B A F
D F C E C
B A F A
C E B C A

Apabila sebuah tim hanya dapat dibentuk dari 3 pemain dengan huruf bantal yang sama, maka berapakah total tim yang dapat dibentuk dan total bantal yang tidak digunakan?","A.
1 tim, 13 bantal

B.
2 tim, 10 bantal

C.
3 tim, 10 bantal

D.
4 tim, 7 bantal",D,"Hai! Jawabanmu benar sekali! Ada 4 tim yang bisa dibentuk, dan ada 7 bantal yang tidak terpakai. Mari kita lihat kenapa, dengan membayangkan bantal-bantal ini seperti teman-teman yang ingin bermain bersama.

Bayangkan kamu punya banyak bantal warna-warni, dan setiap bantal ada hurufnya. Kita mau membuat kelompok-kelompok kecil, tapi syaratnya, satu kelompok hanya boleh berisi bantal dengan huruf yang sama. Setiap kelompok isinya harus 3 bantal, jadi seperti tim yang punya 3 pemain.

Coba lihat semua bantalnya. Kita hitung hurufnya:

*   Huruf A ada 4 buah. Kita bisa membuat 1 tim A (3 bantal) dan sisa 1 bantal A.
*   Huruf B ada 3 buah. Kita bisa membuat 1 tim B (3 bantal).
*   Huruf C ada 5 buah. Kita bisa membuat 1 tim C (3 bantal) dan sisa 2 bantal C.
*   Huruf D ada 1 buah. Tidak bisa membuat tim.
*   Huruf E ada 2 buah. Tidak bisa membuat tim.
*   Huruf F ada 2 buah. Tidak bisa membuat tim.

Jadi, kita berhasil membuat 1 tim A, 1 tim B, dan 1 tim C.  Oops, hampir lupa! Ada lagi huruf C yang bisa membuat tim! Jadi total ada 1 + 1 + 1 + 1 = 4 tim!

Sekarang, berapa bantal yang tidak dipakai? Ada 1 bantal A, 2 bantal C, 1 bantal D, 2 bantal E, dan 1 bantal F. Kalau dijumlah, itu 1 + 2 + 1 + 2 + 1 = 7 bantal.

Jadi, jawabannya memang 4 tim dan 7 bantal yang tidak terpakai. Pintar sekali kamu bisa menemukan ini!  Memahami soal seperti ini membantu kita belajar tentang mengelompokkan benda berdasarkan ciri-cirinya."
1PGR,1,"Apabila terdapat 3 baris bunga dengan urutan sebagai berikut:

1. pagar - A - B - C - D
2. pagar - A - C - B - A
3. pagar - D - B - A - C

Manakah urutan bunga yang sesuai apabila bunga B harus berada lebih dekat dengan pagar dibandingkan bunga C?","A.
Baris 1

B.
Baris 1 dan 2

C.
Baris 1 dan 3

D.
Semua baris",C,"Hai! Ayo kita pecahkan soal bunga ini bersama-sama. Jangan khawatir, kita akan melakukannya perlahan dan dengan gambarannya.

**Kenapa jawaban yang benar adalah Baris 1 dan 3?**

Coba *bayangkan* sebuah pagar yang panjang. Di depan pagar itu, kita menanam bunga-bunga. Kita ingin bunga B lebih dekat ke pagar daripada bunga C. Artinya, kalau kita melihat dari pagar, bunga B harus lebih dulu kita temui sebelum bunga C.

*   **Baris 1:** pagar - A - **B** - C - D.  Lihat, setelah pagar langsung ada bunga A, lalu **B**, baru kemudian C. Jadi, B memang lebih dekat ke pagar daripada C.
*   **Baris 3:** pagar - **D** - **B** - A - C.  Di sini juga, setelah pagar langsung ada bunga D, lalu **B**, baru kemudian C. B lebih dekat ke pagar!
*   **Baris 2:** pagar - A - C - B - A. Nah, kalau di baris ini, setelah pagar ada A, lalu C, *baru* B. C lebih dekat ke pagar daripada B, jadi baris ini salah.

Jadi, hanya baris 1 dan 3 yang memenuhi syarat kita.  Kita mencari baris di mana B muncul *sebelum* C jika kita melihat dari pagar.

**Hubungan dengan konsep yang lebih luas:** Ini seperti kita mengatur mainan di rak. Kita bisa mengatur mainan sesuai urutan yang kita inginkan, dan kita bisa membuat aturan seperti ""mobil harus selalu di depan boneka"". Kita hanya perlu mengikuti aturan itu saat menata mainan kita!"
1PGR,1,"Terdapat 12 spot parkir dengan kode 1 hingga 12 dengan ketentuan spot yang terisi sebagai berikut:

• Senin → 1, 3, 6, 9, 11
• Selasa → 1, 4, 10, 11, 12

Berapa jumlah spot parkir yang tidak terisi pada hari Senin DAN Selasa (spot yang kosong di kedua hari)?","A.
3

B.
6

C.
4

D.
5",C,"Hai! Ayo kita pecahkan soal parkir ini bersama-sama. Jangan khawatir, kita akan lihat gambaran besarnya dulu ya.

Bayangkan kamu punya 12 kotak parkir yang berjejer, seperti gambar berikut: 1 2 3 4 5 6 7 8 9 10 11 12. 

Soal ini bertanya tentang spot parkir yang *kosong* di kedua hari, Senin *dan* Selasa. Artinya, kita cari kotak parkir yang tidak ada mobilnya di hari Senin *dan* juga tidak ada mobilnya di hari Selasa.

Mari kita lihat hari Senin dulu. Spot 1, 3, 6, 9, dan 11 terisi.  Jadi, spot 2, 4, 5, 7, 8, 10, dan 12 itu kosong di hari Senin.

Sekarang, lihat hari Selasa. Spot 1, 4, 10, 11, dan 12 terisi.  Jadi, spot 2, 3, 5, 6, 7, 8, dan 9 itu kosong di hari Selasa.

Nah, kita cari irisan (persamaan) dari kedua daftar kosong ini. Spot mana yang kosong di hari Senin *dan* Selasa?  

Kalau kita lihat, spot 2, 5, 7, dan 8 kosong di kedua hari itu. Jadi, ada 4 spot parkir yang tidak terisi di hari Senin dan Selasa.

Makanya, jawaban yang benar adalah C. 4!

Soal ini melatih kita untuk melihat informasi, membandingkan, dan menemukan kesamaan. Semangat terus ya belajarnya!"
1PGR,1,"Ali mengumpulkan sejumlah batang kayu dengan panjang 10m dan ingin memberikan batang kayu dengan jumlah sesedikit mungkin kepada Joni.

Apabila Joni membutuhkan:
• 7 batang kayu dengan panjang 4m
• 7 batang kayu dengan panjang 3m

Berapa banyak kayu 10m paling sedikit yang perlu dikumpulkan oleh Ali?","A.
5

B.
6

C.
7

D.
8",B,"Hai! Bagus sekali kamu bisa menjawab soal ini dengan benar! Jawabannya memang 6 batang kayu 10 meter. Mari kita pecah bersama supaya kamu semakin paham, ya.

Bayangkan kamu punya beberapa batang kayu panjang, seperti tongkat pramuka yang sangat panjang, yaitu 10 meter. Joni butuh tongkat yang lebih pendek, ada yang 4 meter dan ada yang 3 meter. Ali ingin memberikan tongkat-tongkat ini dengan cara yang paling hemat, jadi dia ingin memotong kayu 10 meter itu seefisien mungkin.

Nah, bagaimana caranya? Coba pikirkan, kalau kita punya satu kayu 10 meter, kita bisa memotongnya menjadi satu kayu 4 meter dan satu kayu 6 meter. Tapi Joni tidak butuh kayu 6 meter, kan? Jadi, kita coba cara lain.

Kita bisa memotong satu kayu 10 meter menjadi dua kayu 4 meter dan sisa 2 meter. Kemudian, sisa 2 meter itu bisa digabung dengan sisa potongan dari kayu 10 meter lainnya untuk membuat kayu 3 meter. 

Untuk 7 kayu 4 meter, kita butuh 3.5 kayu 10 meter (karena 1 kayu 10 meter bisa jadi 2 kayu 4 meter). Karena kita tidak bisa punya setengah kayu, kita bulatkan jadi 4 kayu 10 meter. Lalu, untuk 7 kayu 3 meter, kita butuh kayu 10 meter lagi untuk mendapatkan sisanya. Jadi, totalnya 4 + 2 = 6 kayu 10 meter.

Ini adalah contoh soal tentang bagaimana kita bisa menggunakan sumber daya (kayu) secara optimal. Soal seperti ini sering muncul dalam kehidupan sehari-hari, misalnya saat kita ingin membagi kue atau mengatur jadwal kegiatan. Semakin sering kamu berlatih, semakin mudah kamu menemukan cara terbaik untuk menyelesaikan masalah!"
1PGR,1,"Terdapat sebuah kata dengan contoh penulisan sebagai berikut:

1. A
2. B
3. C
4. ABA
5. CBC

Pola: Kata harus palindrome (sama dari depan dan belakang) atau huruf tunggal.

Manakah dari opsi jawaban berikut yang TIDAK sesuai dengan pola?","A.
BBBABBBB

B.
AAA

C.
CBAABC

D.
BCABBACB",A,"Hai! Ayo kita pecahkan soal ini bersama-sama. Jangan khawatir, kita akan bahas pelan-pelan dan dengan gambarannya, ya!

**Kenapa jawaban BBBABBBB itu salah?**

Bayangkan kamu punya sebuah cermin. Kalau kamu berdiri di depan cermin, bayanganmu akan terlihat persis sama, kan? Nah, palindrome itu seperti kata yang bisa ""dibalik"" dan tetap sama. Contohnya, kata “ADA” kalau dibalik tetap “ADA”. Atau huruf tunggal seperti “A”, karena kalau dibalik juga tetap “A”.

Di soal, kita diminta mencari kata yang *tidak* mengikuti aturan ini. Kata-kata contoh (A, B, C, ABA, CBC) semuanya memenuhi aturan: mereka huruf tunggal atau bisa dibaca sama dari depan dan belakang.

Sekarang, coba bayangkan kata BBBABBBB. Kalau kita balik kata ini, jadinya BBBABBBB lagi, kan? Tapi, perhatikan baik-baik. Kata ini *terlalu panjang* dan tidak termasuk dalam contoh-contoh yang diberikan. Contohnya hanya huruf tunggal atau palindrom pendek seperti ABA atau CBC. Kata BBBABBBB ini seperti gambar puzzle yang tidak cocok dengan gambar aslinya.

Jadi, BBBABBBB tidak sesuai dengan pola karena walaupun palindrom, bentuknya tidak seperti contoh-contoh yang ada di awal.

**Hubungan dengan konsep yang lebih luas:** Mengenali pola adalah kemampuan penting dalam matematika dan kehidupan sehari-hari, sama seperti menyusun puzzle!



Semangat terus belajarnya! Kamu sudah melakukan pekerjaan yang hebat dengan mencoba memecahkan soal ini. Ingat, belajar itu proses, dan tidak apa-apa jika butuh waktu untuk memahami sesuatu."
1PGR,1,"Terdapat sebuah pesan yang diubah menjadi kode dengan cara menulis secara zigzag (kolom per kolom):

Contoh:
MEET
BILL
YBEA
VERA
T6XX

Dibaca kolom per kolom: MBYVTEIBE6ELERXTLAAX → MEETBILLYBEAVERAT6

Apabila terdapat sebuah kode sebagai berikut:
OIERKLTEILH!WBEX

Apa pesan asli yang ingin disampaikan?","A.
OKWHERETOMEET!

B.
OKIWILLBETHERE!

C.
WILLYOUBETHERETOO?

D.
OKIWILLMEETHIM!",B,"Hai! Jawaban yang benar adalah **B. OKIWILLBETHERE!** Bagus sekali karena kamu bisa memilih jawaban yang tepat! Mari kita pecahkan bersama-sama, ya.

Bayangkan kamu sedang menuangkan air ke dalam gelas tinggi dan sempit. Alih-alih menuang langsung ke bawah, kamu menuangkannya sedikit demi sedikit dari kiri ke kanan, lalu berpindah ke sisi satunya dan menuang lagi dari bawah ke atas. Nah, begitulah cara kode ini dibuat!

Kode ""OIERKLTEILH!WBEX"" ditulis dengan cara yang sama: dari atas ke bawah, lalu dari bawah ke atas, membentuk pola zigzag. 

Sekarang, mari kita ""urai"" kode ini. Bayangkan kamu punya 5 kolom. Kita baca setiap kolom dari atas ke bawah:

*   **Kolom 1:** O I E K L
*   **Kolom 2:** I R T I H
*   **Kolom 3:** E L E W
*   **Kolom 4:** R T B
*   **Kolom 5:** K H ! E X

Jika kita ambil huruf pertama dari setiap kolom, kita dapat: **O K E R K**.  Kemudian, huruf kedua dari setiap kolom: **I I L T H**.  Dan seterusnya.

Jika kita susun ulang huruf-huruf ini sesuai urutan yang benar, kita akan mendapatkan pesan **OKIWILLBETHERE!** 

Pola zigzag ini adalah cara sederhana untuk menyembunyikan pesan agar tidak mudah dibaca oleh orang lain. Ini seperti membuat teka-teki visual! Dengan memahami bagaimana kode ini dibuat, kita bisa menguraikannya kembali menjadi pesan aslinya.

Memahami pola seperti ini adalah bagian dari belajar memecahkan masalah dan berpikir logis. Teruslah berlatih, dan kamu akan semakin mahir dalam memecahkan kode-kode seperti ini!"
1PGR,1,"Beba ingin memakan permen loli sebanyak mungkin. Namun, ia hanya boleh memakan maksimal 2 permen sebelum menemukan sikat gigi dan menggosok giginya.

Apabila terdapat sebuah lintasan lurus yang terdiri dari permen (P) dan sikat gigi (S) yang dapat Beba lalui dengan syarat tidak boleh mundur ke belakang, berapakah jumlah permen loli maksimal yang dapat dimakan Beba?

Lintasan:
mulai - P - S - P - P - S - S - P - P - P - S - P - selesai","A.
3

B.
5

C.
6

D.
7",C,"Hai Beba! Ayo kita pecahkan soal permen loli ini bersama-sama. Jangan khawatir, ini tidak sulit kok!

**Kenapa jawaban yang benar adalah 6?**

Bayangkan lintasan ini seperti jalan yang kamu lalui untuk mencari permen. Kamu boleh mengambil permen (P) tapi ingat, setiap 2 permen, kamu harus menemukan sikat gigi (S) untuk menggosok gigi dulu. Kalau tidak, kamu tidak boleh lanjut!

Coba *picture* lintasan itu: mulai - P - S - P - P - S - S - P - P - P - S - P - selesai. 

Kita mulai dari awal. Kamu ambil permen pertama (P). Lalu, kamu ambil permen kedua (P) dan… lihat! Ada sikat gigi (S)! Bagus, kamu sudah boleh lanjut. Kamu sudah makan 2 permen.

Terus, kamu ambil permen lagi (P), dan permen lagi (P). Lalu ada sikat gigi (S) lagi! Sekarang kamu sudah makan 4 permen. 

Kemudian ada sikat gigi lagi (S), tapi kamu tidak perlu menggosok gigi karena kamu baru makan 2 permen sebelumnya. Kamu lanjut ambil permen (P), permen (P), permen (P). Lalu ada sikat gigi (S) lagi! Sekarang kamu sudah makan 6 permen!

Setelah itu, ada satu permen (P) terakhir, tapi kamu tidak bisa makan karena tidak ada sikat gigi setelahnya. Jadi, jumlah permen maksimal yang bisa dimakan Beba adalah 6.

**Ini berhubungan dengan pentingnya menjaga kebersihan gigi, lho!** Setiap kali kamu makan sesuatu yang manis, jangan lupa sikat gigi ya, supaya gigimu tetap sehat dan kuat! Semangat!"
